Congress.gov API — Nominations, 119th Congress
Endpoint: https://api.congress.gov/v3/nomination/119 (limit=250, all pages)
Fetched: 2026-08-31
Total nomination records returned by the API: 2077
Tally of latestAction.text by leading phrase: {
 "confirmed": 1622,
 "other": 95,
 "pending-calendar": 42,
 "pending-referred": 205,
 "returned": 113
}

--- one line per nomination: citation | number | organization | latestAction.text ---
PN860 | 860 | Air Force | Confirmed by the Senate by Voice Vote.
PN856 | 856 | Army | Confirmed by the Senate by Voice Vote.
PN857 | 857 | Army | Confirmed by the Senate by Voice Vote.
PN864 | 864 | Air Force | Confirmed by the Senate by Voice Vote.
PN862 | 862 | Air Force | Confirmed by the Senate by Voice Vote.
PN861 | 861 | Air Force | Confirmed by the Senate by Voice Vote.
PN863 | 863 | Air Force | Confirmed by the Senate by Voice Vote.
PN865 | 865 | Air Force | Confirmed by the Senate by Voice Vote.
PN866 | 866 | Army | Confirmed by the Senate by Voice Vote.
PN867 | 867 | Army | Confirmed by the Senate by Voice Vote.
PN868 | 868 | Army | Confirmed by the Senate by Voice Vote.
PN869 | 869 | Army | Confirmed by the Senate by Voice Vote.
PN870 | 870 | Army | Confirmed by the Senate by Voice Vote.
PN893 | 893 | Foreign Service | Confirmed by the Senate by Voice Vote.
PN872 | 872 | Navy | Confirmed by the Senate by Voice Vote.
PN875 | 875 | Army | Confirmed by the Senate by Voice Vote.
PN871 | 871 | Army | Confirmed by the Senate by Voice Vote.
PN894 | 894 | Foreign Service | Confirmed by the Senate by Voice Vote.
PN895 | 895 | Foreign Service | Confirmed by the Senate by Voice Vote.
PN931-1 | 931 | Peace Corps | Received in the Senate and referred to the Committee on Foreign Relations.
PN787-1 | 787 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 47 - 46. Record Vote Number: 86.
PN787-5 | 787 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 53 - 47. Record Vote Number: 78.
PN787-3 | 787 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 53 - 46. Record Vote Number: 76.
PN786-2 | 786 | Department of State | Received message of withdrawal of nomination from the President.
PN902 | 902 | Air Force | Received in the Senate and referred to the Committee on Armed Services.
PN12-9 | 12 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 54 - 45. Record Vote Number: 193.
PN26-45 | 26 | Office of the Director of National Intelligence | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN26-25 | 26 | Department of Homeland Security | Confirmed by the Senate by Yea-Nay Vote. 53 - 44. Record Vote Number: 463.
PN141-17 | 141 | Office of the Director of National Intelligence | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN141-37 | 141 | Central Intelligence Agency | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN786-9 | 786 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 52 - 47. Record Vote Number: 65.
PN12-19 | 12 | Department of Energy | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN12-17 | 12 | Department of Transportation | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN12-20 | 12 | Department of Energy | Confirmed by the Senate by Yea-Nay Vote. 54 - 43. Record Vote Number: 375.
PN12-23 | 12 | National Aeronautics and Space Administration | Received message of withdrawal of nomination from the President.
PN22-6 | 22 | Department of Commerce | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN22-8 | 22 | Department of Energy | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN25-13 | 25 | Department of Commerce | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN22-27 | 22 | Department of the Interior | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN13-4 | 13 | Department of Energy | Confirmed by the Senate by Yea-Nay Vote. 52 - 44. Record Vote Number: 248.
PN24-7 | 24 | Federal Communications Commission | Confirmed by the Senate by Yea-Nay Vote. 53 - 45. Record Vote Number: 320.
PN24-6 | 24 | Federal Communications Commission | Confirmed by the Senate by Yea-Nay Vote. 53 - 45. Record Vote Number: 317.
PN13-10 | 13 | Department of the Interior | Confirmed by the Senate by Yea-Nay Vote. 54 - 40. Record Vote Number: 250.
PN12-36 | 12 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 62 - 30. Record Vote Number: 136.
PN22-1 | 22 | Department of Energy | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN22-2 | 22 | Department of the Interior | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN22-5 | 22 | Department of Energy | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN22-4 | 22 | Department of the Interior | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN22-9 | 22 | Department of Commerce | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN26-26 | 26 | Department of Commerce | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN624-1 | 624 | Commodity Futures Trading Commission | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN26-19 | 26 | Amtrak Board of Directors | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN26-21 | 26 | Department of Energy | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN624-2 | 624 | Commodity Futures Trading Commission | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN25-23 | 25 | Department of Commerce | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN150-1 | 150 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 49 - 47. Record Vote Number: 430.
PN150-2 | 150 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 51 - 46. Record Vote Number: 420.
PN150-4 | 150 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 52 - 45. Record Vote Number: 505.
PN150-6 | 150 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 50 - 47. Record Vote Number: 421.
PN345-3 | 345 | Department of Veterans Affairs | Received message of withdrawal of nomination from the President.
PN150-3 | 150 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 46 - 42. Record Vote Number: 384.
PN787-4 | 787 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 51 - 45. Record Vote Number: 56.
PN730-13 | 730 | Department of State | Received message of withdrawal of nomination from the President.
PN730-32 | 730 | Consumer Product Safety Commission | Received message of withdrawal of nomination from the President.
PN846 | 846 | Coast Guard | Placed on Senate Executive Calendar. Calendar No. DESK. Subject to nominee's commitment to respond to requests to appear and testify before any duly constituted committee of the Senate.
PN769-2 | 769 | Coast Guard | Received in the Senate and referred to the Committee on Commerce, Science, and Transportation.
PN680 | 680 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN681-1 | 681 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN712-7 | 712 | Air Force | Confirmed by the Senate by Voice Vote.
PN753 | 753 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN752 | 752 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN751 | 751 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN712-4 | 712 | Army | Confirmed by the Senate by Voice Vote.
PN780 | 780 | Army | Confirmed by the Senate by Voice Vote.
PN781 | 781 | Army | Confirmed by the Senate by Voice Vote.
PN770-8 | 770 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN788 | 788 | Air Force | Confirmed by the Senate by Voice Vote.
PN759 | 759 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN796 | 796 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN797 | 797 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN800 | 800 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN793-1 | 793 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN790 | 790 | Army | Confirmed by the Senate by Voice Vote.
PN794 | 794 | Army | Confirmed by the Senate by Voice Vote.
PN795 | 795 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN798 | 798 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN799 | 799 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN789 | 789 | Army | Confirmed by the Senate by Voice Vote.
PN802 | 802 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN816 | 816 | Air Force | Confirmed by the Senate by Voice Vote.
PN817 | 817 | Air Force | Confirmed by the Senate by Voice Vote.
PN808 | 808 | Air Force | Confirmed by the Senate by Voice Vote.
PN809 | 809 | Air Force | Confirmed by the Senate by Voice Vote.
PN814 | 814 | Air Force | Confirmed by the Senate by Voice Vote.
PN807 | 807 | Air Force | Confirmed by the Senate by Voice Vote.
PN810 | 810 | Air Force | Confirmed by the Senate by Voice Vote.
PN811 | 811 | Air Force | Confirmed by the Senate by Voice Vote.
PN812 | 812 | Air Force | Confirmed by the Senate by Voice Vote.
PN813 | 813 | Air Force | Confirmed by the Senate by Voice Vote.
PN815 | 815 | Air Force | Confirmed by the Senate by Voice Vote.
PN820 | 820 | Air Force | Confirmed by the Senate by Voice Vote.
PN822 | 822 | Air Force | Confirmed by the Senate by Voice Vote.
PN824 | 824 | Air Force | Confirmed by the Senate by Voice Vote.
PN826 | 826 | Air Force | Confirmed by the Senate by Voice Vote.
PN828 | 828 | Air Force | Confirmed by the Senate by Voice Vote.
PN818 | 818 | Air Force | Confirmed by the Senate by Voice Vote.
PN819 | 819 | Air Force | Confirmed by the Senate by Voice Vote.
PN821 | 821 | Air Force | Confirmed by the Senate by Voice Vote.
PN823 | 823 | Air Force | Confirmed by the Senate by Voice Vote.
PN825 | 825 | Air Force | Confirmed by the Senate by Voice Vote.
PN827 | 827 | Air Force | Confirmed by the Senate by Voice Vote.
PN829 | 829 | Air Force | Confirmed by the Senate by Voice Vote.
PN834 | 834 | Navy | Confirmed by the Senate by Voice Vote.
PN832 | 832 | Army | Confirmed by the Senate by Voice Vote.
PN838 | 838 | Navy | Confirmed by the Senate by Voice Vote.
PN839 | 839 | Navy | Confirmed by the Senate by Voice Vote.
PN837 | 837 | Navy | Confirmed by the Senate by Voice Vote.
PN840 | 840 | Navy | Confirmed by the Senate by Voice Vote.
PN830 | 830 | Air Force | Confirmed by the Senate by Voice Vote.
PN831 | 831 | Air Force | Confirmed by the Senate by Voice Vote.
PN835-1 | 835 | Navy | Confirmed by the Senate by Voice Vote.
PN835-2 | 835 | Navy | Placed on Senate Executive Calendar. Calendar No. DESK.
PN836 | 836 | Navy | Confirmed by the Senate by Voice Vote.
PN841 | 841 | Navy | Confirmed by the Senate by Voice Vote.
PN852-10 | 852 | United States Postal Service | Received in the Senate and referred to the Committee on Homeland Security and Governmental Affairs.
PN852-8 | 852 | National Science Foundation | Received in the Senate and referred to the Committee on Health, Education, Labor, and Pensions.
PN770-5 | 770 | Marine Corps | Received in the Senate and referred to the Committee on Armed Services.
PN770-6 | 770 |  | Received in the Senate and referred to the Committee on Armed Services.
PN770-7 | 770 |  | Received in the Senate and referred to the Committee on Armed Services.
PN712-6 | 712 | Air Force | Received in the Senate and referred to the Committee on Armed Services.
PN730-46 | 730 | Department of Transportation | Confirmed by the Senate by Yea-Nay Vote. 57 - 33. Record Vote Number: 43.
PN730-19 | 730 | National Transportation Safety Board | Confirmed by the Senate by Yea-Nay Vote. 50 - 45. Record Vote Number: 41.
PN11-3 | 11 | Department of the Interior | Confirmed by the Senate by Yea-Nay Vote. 80 - 17. Record Vote Number: 26.
PN55-6 | 55 | Department of Transportation | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 377.
PN13-2 | 13 | Department of Transportation | Confirmed by the Senate by Yea-Nay Vote. 51 - 46. Record Vote Number: 113.
PN12-29 | 12 | Federal Trade Commission | Confirmed by the Senate by Yea-Nay Vote. 50 - 46. Record Vote Number: 209.
PN26-12 | 26 | Department of Commerce | Confirmed by the Senate by Yea-Nay Vote. 56 - 40. Record Vote Number: 325.
PN11-15 | 11 | Department of Energy | Confirmed by the Senate by Yea-Nay Vote. 59 - 38. Record Vote Number: 30.
PN13-8 | 13 | Executive Office of the President | Confirmed by the Senate by Yea-Nay Vote. 74 - 25. Record Vote Number: 139.
PN141-39 | 141 | Department of Labor | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN246-14 | 246 | Department of Agriculture | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN246-3 | 246 | Department of Agriculture | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN345-8 | 345 | Department of Agriculture | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN246-2 | 246 | Department of Veterans Affairs | Confirmed by the Senate by Yea-Nay Vote. 53 - 43. Record Vote Number: 655.
PN620 | 620 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN805 | 805 | Department of Justice | Received in the Senate and referred to the Committee on the Judiciary.
PN806-10 | 806 | Federal Election Commission | Received in the Senate and referred to the Committee on Rules and Administration.
PN806-11 | 806 | Federal Election Commission | Received in the Senate and referred to the Committee on Rules and Administration.
PN833 | 833 | Navy | Received in the Senate and referred to the Committee on Armed Services.
PN726-4 | 726 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 52 - 46. Record Vote Number: 34.
PN697 | 697 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN698 | 698 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN675 | 675 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN646 | 646 | Department of Justice | Returned to the President under the provisions of Senate Rule XXXI, paragraph 6 of the Standing Rules of the Senate.
PN682 | 682 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN677-1 | 677 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN676 | 676 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN621 | 621 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN726-11 | 726 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 50 - 47. Record Vote Number: 32.
PN726-9 | 726 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 50 - 46. Record Vote Number: 30.
PN726-2 | 726 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 51 - 46. Record Vote Number: 28.
PN726-12 | 726 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 58 - 39. Record Vote Number: 26.
PN677-2 | 677 | Coast Guard | Received in the Senate and referred to the Committee on Commerce, Science, and Transportation.
PN726-6 | 726 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 51 - 45. Record Vote Number: 24.
PN726-5 | 726 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 54 - 40. Record Vote Number: 22.
PN702 | 702 | Air Force | Confirmed by the Senate by Voice Vote.
PN685 | 685 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN712-3 | 712 | Army | Confirmed by the Senate by Voice Vote.
PN703 | 703 | Air Force | Confirmed by the Senate by Voice Vote.
PN709-1 | 709 | Army | Confirmed by the Senate by Voice Vote.
PN710 | 710 | Army | Confirmed by the Senate by Voice Vote.
PN720 | 720 | Army | Confirmed by the Senate by Voice Vote.
PN715-2 | 715 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN715-1 | 715 | Navy | Confirmed by the Senate by Voice Vote.
PN712-5 | 712 | Air Force | Confirmed by the Senate by Voice Vote.
PN719 | 719 | Army | Confirmed by the Senate by Voice Vote.
PN713 | 713 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN732 | 732 | Air Force | Confirmed by the Senate by Voice Vote.
PN733 | 733 | Air Force | Confirmed by the Senate by Voice Vote.
PN729 | 729 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN727 | 727 | Air Force | Confirmed by the Senate by Voice Vote.
PN731 | 731 | Air Force | Confirmed by the Senate by Voice Vote.
PN728 | 728 | Army | Confirmed by the Senate by Voice Vote.
PN737 | 737 | Army | Confirmed by the Senate by Voice Vote.
PN738 | 738 | Army | Confirmed by the Senate by Voice Vote.
PN739 | 739 | Army | Confirmed by the Senate by Voice Vote.
PN736 | 736 | Air Force | Confirmed by the Senate by Voice Vote.
